Income,MntTotal,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,AcceptedCmp6,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Graduation,education_Master,education_PhD,MntRegularProds,DateJoined
87679,2491,0,0,62,1259,172,815,97,148,33,1,7,11,10,4,1,0,1,0,1,0,1,32,2496,0,0,0,1,0,0,1,0,0,2458,15-12-15
46344,21,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,0,0,1,0,0,0,1,0,0,15,26-07-16
71613,734,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,0,0,0,1,0,0,1,0,0,692,09-01-16
26646,48,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,0,0,0,1,0,0,1,0,0,43,30-06-16
58293,407,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,0,1,0,0,0,0,0,0,1,392,08-06-16
62513,702,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,0,0,0,1,0,0,0,1,0,688,28-01-16
55635,563,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,1,0,0,0,0,0,1,0,0,536,03-04-15
33454,146,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,0,1,0,0,0,0,0,0,1,123,26-09-15
90638,2429,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,0,0,1,0,1,29,2295,0,0,1,0,0,0,0,1,0,2333,03-07-16
5648,36,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0,0,70,2267,0,0,0,1,0,0,0,0,1,23,31-07-16
7500,45,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,44,2752,0,1,0,0,0,0,0,0,0,29,03-04-15
63033,1072,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,61,2385,1,0,0,0,0,0,1,0,0,1042,04-04-16
